,Train,Valid,Test
0,,,1
4,6,3,4
5,1,,
6,2,,
7,7,2,4
8,4,,1
9,2,,
10,12,1,1
11,12,2,2
12,4,,1
13,8,2,
14,8,2,2
15,28,1,3
16,12,3,2
17,14,2,4
18,37,13,8
19,47,6,8
20,11,3,5
21,12,4,2
22,20,5,6
23,17,2,2
24,27,1,5
25,36,6,7
26,17,4,5
27,9,1,4
28,25,6,5
29,17,9,4
30,16,4,6
31,30,4,10
32,33,13,13
33,27,4,5
34,45,12,9
35,21,2,5
36,509,99,107
37,19,7,1
38,29,7,9
39,27,5,3
40,34,12,12
41,23,8,5
42,31,3,5
43,21,8,5
44,31,3,13
45,23,9,4
46,27,11,5
47,24,5,4
48,29,6,4
49,31,5,11
50,32,6,13
51,29,6,5
52,19,4,10
53,24,5,6
54,39,9,6
55,48,12,2
56,30,7,9
57,27,7,7
58,46,6,10
59,31,5,
60,43,13,4
61,21,5,4
62,26,5,9
63,41,5,7
64,40,3,9
65,24,5,8
66,27,3,8
67,29,12,6
68,33,4,10
69,42,3,9
70,31,3,14
71,33,2,3
72,37,4,13
73,24,4,9
74,38,6,10
75,30,6,9
76,45,20,8
77,20,10,6
78,37,8,5
79,31,10,6
80,40,8,13
81,36,4,9
82,32,9,7
83,34,10,9
84,34,11,11
85,36,3,5
86,52,11,11
87,33,9,6
88,43,14,5
89,21,5,5
90,33,2,10
91,32,13,6
92,18,8,11
93,26,5,2
94,27,9,12
95,18,6,4
96,34,5,6
97,28,7,5
98,56,6,7
99,23,9,2
100,37,8,6
101,21,4,5
102,29,11,8
103,23,9,11
104,39,8,7
105,37,1,3
106,36,1,6
107,84,24,19
108,34,9,4
109,21,6,9
110,25,7,7
111,26,10,2
112,46,6,5
113,34,5,5
114,58,12,6
115,27,5,6
116,28,6,3
117,29,7,6
118,41,7,9
119,26,9,4
120,35,7,11
121,25,4,3
122,27,7,5
123,34,3,6
124,33,7,4
125,27,5,7
126,19,7,4
127,32,10,10
128,33,5,7
129,20,8,5
130,22,1,5
131,22,6,3
132,20,1,4
133,35,7,5
134,24,7,14
135,31,4,12
136,27,6,7
137,29,6,9
138,38,6,6
139,30,7,7
140,33,4,6
141,38,8,8
142,37,10,12
143,25,7,8
144,36,4,7
145,27,9,6
146,28,7,9
147,27,9,4
148,26,6,5
149,24,8,10
150,28,12,6
151,32,11,6
152,25,7,10
153,27,7,4
154,32,4,2
155,36,,8
156,40,10,6
157,40,11,8
158,30,4,4
159,21,6,3
160,27,7,9
161,29,7,3
162,30,5,7
163,32,6,5
164,22,3,6
165,35,5,8
166,28,4,4
167,41,5,5
168,20,3,7
169,57,18,17
170,36,8,2
171,29,12,5
172,42,5,5
173,23,7,6
174,24,6,7
175,28,4,7
176,37,4,4
177,38,9,7
178,27,4,8
179,35,10,10
180,35,8,10
181,23,10,3
182,40,3,2
183,33,11,2
184,30,3,7
185,26,4,3
186,23,8,2
187,41,8,11
188,26,3,9
189,27,3,5
190,24,5,5
191,36,10,6
192,18,2,7
193,32,9,3
194,28,5,9
195,30,5,3
196,38,4,4
197,31,5,2
198,32,5,4
199,25,5,4
200,31,8,6
201,11,4,5
202,19,3,4
203,27,4,7
204,25,4,7
205,21,7,5
206,27,7,8
207,31,6,5
208,30,8,6
209,33,6,5
210,34,7,11
211,28,6,2
212,21,7,8
213,28,5,7
214,25,3,5
215,23,10,5
216,27,4,7
217,16,1,7
218,26,3,2
219,26,7,4
220,22,5,6
221,24,4,5
222,26,4,6
223,18,2,3
224,17,2,2
225,23,7,6
226,15,6,4
227,25,6,4
228,23,5,5
229,20,1,3
230,24,3,2
231,11,6,5
232,19,4,3
233,17,5,5
234,10,4,5
235,20,1,7
236,19,2,
237,15,6,3
238,22,6,2
239,21,6,5
240,11,4,6
241,10,3,4
242,10,2,1
243,22,3,
244,17,3,
245,9,,3
246,8,5,2
247,13,4,1
248,15,4,5
249,7,2,2
250,13,3,2
251,11,2,2
252,17,2,6
253,7,1,2
254,14,1,1
255,8,2,4
256,8,2,
257,3,3,1
258,2,,
259,2,2,
260,3,,
262,1,,
266,1,,
